player_name,season,season_end_year,team_abbreviation,team_name,games_played,minutes,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,true_shooting_pct,effective_field_goal_pct,per,defensive_rating,db_age,db_dpm,db_o_dpm,db_offposs,db_total_rapm,db_transition_ts,season_games_played,season_minutes,season_minutes_per_game,season_points_per_game,history_weighted_seasons,history_recent_weight
Cade Cunningham,25-26,2026,DET,Pistons,65.45643275883235,2239.4158,34.16307772196795,24.378923193322915,5.527567299080694,9.390939584496078,1.2281230164285155,0.7527696222488065,3.8620454904678567,56.215673729796805,51.372178308264864,20.746543560006256,112.21168064624328,23.127901061420463,0.972160076183468,1.662962823534259,4861.163970146281,0.4596479849535604,0.5841641900855733,64.0,2172.0,33.900001525878906,23.899999618530277,3.0,0.5998265769668252
Caleb Love,25-26,2026,POR,Trail Blazers,49.0,1013.0,20.700000762939453,10.399999618530272,2.299999952316284,2.5,0.6000000238418579,0.1000000014901161,1.2999999523162842,49.70000076293945,48.29999923706055,10.600000381469728,118.3000030517578,,,,,,,49.0,1013.0,20.700000762939453,10.399999618530272,1.0,1.0
Caleb Martin,25-26,2026,DAL,Mavericks,51.75822224471541,1025.8445,21.023142970204194,6.283834702340274,3.3174572436668277,1.7441925133043537,0.8069481376783391,0.4127851747692574,0.9685943811014002,52.81511879060423,50.39649753916896,9.815177556800164,116.1007189537053,28.994310228659145,-0.9826029763206712,-1.3605244522395892,2818.5847052937843,-0.8382558437239359,0.6058424644729261,58.0,856.0,14.800000190734863,3.900000095367432,3.0,0.5697593670337461
Cam Christie,25-26,2026,LAC,Clippers,47.21500833322881,401.96472,7.921500677942049,2.540500234509832,1.3073215039346755,0.5814643249779107,0.3185357052608087,0.1000000014901161,0.3629286165186711,45.89768277584531,40.71325290716344,9.181464220882535,115.52743207129366,,,,,,,55.0,480.0,8.699999809265137,2.799999952316284,2.0,0.8146430555530669
Cam Spencer,25-26,2026,MEM,Grizzlies,67.58425433194441,1576.6421,22.51285645835966,10.451731282825186,2.3778623583422744,5.205401362292256,0.6718143791119011,0.1812095956021244,1.1966527180366664,64.31749883415782,59.704756319889455,16.91814456686818,121.50205392518126,25.000000000000004,-1.5199999809265137,-0.3700000047683715,528.0,-0.2159832417964935,0.0,72.0,1714.0,23.799999237060547,11.100000381469728,2.0,0.9060479645094556
Cam Thomas,25-26,2026,BKN,Nets,32.23260190900506,919.46796,27.53732553984882,19.21072817573561,2.4765793624495043,3.254042479198347,0.4044227080413523,0.1189485788365062,2.118151189473596,54.527770081168,48.32167668354971,14.48298311157125,122.38562308944832,22.88702251690005,-0.1077404502133333,1.6707224414448667,2637.724862958313,-0.1373962341600671,0.3329291318266845,24.0,582.0,24.299999237060547,15.600000381469728,3.0,0.5363146872490113
Cam Thomas,25-26,2026,MIL,Bucks,32.23260190900506,919.46796,27.53732553984882,19.21072817573561,2.4765793624495043,3.254042479198347,0.4044227080413523,0.1189485788365062,2.118151189473596,54.527770081168,48.32167668354971,14.48298311157125,122.38562308944832,22.88702251690005,-0.1077404502133333,1.6707224414448667,2637.724862958313,-0.1373962341600671,0.3329291318266845,18.0,299.0,16.600000381469727,10.699999809265137,3.0,0.5363146872490113
Cam Whitmore,25-26,2026,WAS,Wizards,31.67691217880904,522.9533,16.663603550970784,9.286661479034144,2.875552521882636,0.8053936915287264,0.664339759080937,0.3648687749672205,0.9005289849482694,53.5552132178585,51.09193095702173,14.347703326125826,118.57293162132764,20.248241038101085,-0.3711557274330173,0.8938693327511719,1745.5125317155005,-0.3442155234018591,0.6165276586655397,21.0,354.0,16.899999618530273,9.199999809265137,3.0,0.4933975824876963
Cameron Johnson,25-26,2026,DEN,Nuggets,55.341954393532376,1684.6674,30.458825762700467,14.224244718197292,4.003307040929279,2.684501635184384,0.7691115399143644,0.3877887623362733,1.1398124756242654,62.41142319305635,58.72545871931342,14.543899799233042,118.56478659743674,28.469337914157933,0.31808200182524,0.951760250747552,3479.186769220261,-0.2621616178502989,0.6921634119907455,54.0,1647.0,30.5,12.199999809265137,3.0,0.593386016662667
Cameron Payne,25-26,2026,PHI,76ers,40.24445748211846,635.7155,16.32414728286945,7.231959606061502,1.787131378342372,2.6790426278840047,0.8856151827514384,0.2657854223916475,0.5714616065977333,51.93550422006268,49.021736995904575,14.203809616375652,114.51396013970256,31.40571490058884,-0.9500446683052186,-0.8576093683423919,1290.8297488151345,1.2640191236430316,0.1496402218292158,22.0,374.0,17.0,7.400000095367432,3.0,0.4926919457141142
